"probe","chr","pos","gene","region","island","type","CpG_rs","CpG_maf","Probe_rs"
"cg01564068","chr1",110198568,"GSTM4;GSTM4;GSTM4","TSS200;TSS200;TSS200","Island","I",NA,NA,NA
"cg07351262","chr1",110198909,"GSTM4;GSTM4;GSTM4;GSTM4;GSTM4","Body;1stExon;5'UTR;5'UTR;1stExon","Island","I",NA,NA,NA
"cg08859447","chr1",110197289,"GSTM4;GSTM4;GSTM4","TSS1500;TSS1500;TSS1500","N_Shore","I",NA,NA,NA
"cg15069758","chr1",110198731,"GSTM4;GSTM4;GSTM4;GSTM4;GSTM4","Body;1stExon;5'UTR;5'UTR;1stExon","Island","I",NA,NA,NA
"cg15955341","chr1",110198890,"GSTM4;GSTM4;GSTM4;GSTM4;GSTM4","Body;1stExon;5'UTR;5'UTR;1stExon","Island","I",NA,NA,NA
"cg21460053","chr1",110198853,"GSTM4;GSTM4;GSTM4;GSTM4;GSTM4","Body;1stExon;5'UTR;5'UTR;1stExon","Island","I",NA,NA,NA
"cg06932256","chr1",110198347,"GSTM4;GSTM4;GSTM4","TSS1500;TSS1500;TSS1500","N_Shore","II",NA,NA,NA
"cg11903880","chr1",110197856,"GSTM4;GSTM4;GSTM4","TSS1500;TSS1500;TSS1500","N_Shore","II",NA,NA,NA
"cg13792045","chr1",110198611,"GSTM4;GSTM4;GSTM4","TSS200;TSS200;TSS200","Island","II",NA,NA,NA
"cg22711251","chr1",110198809,"GSTM4;GSTM4;GSTM4;GSTM4;GSTM4","Body;1stExon;5'UTR;5'UTR;1stExon","Island","II",NA,NA,"rs59319063"
"cg12858902","chr1",110254854,"GSTM5","TSS200","OpenSea","I",NA,NA,NA
"cg20803293","chr1",110254709,"GSTM5","TSS200","OpenSea","I",NA,NA,"rs1758104"
"cg24467349","chr1",110254835,"GSTM5","TSS200","OpenSea","I",NA,NA,NA
"cg25210835","chr1",110254828,"GSTM5","TSS200","OpenSea","I",NA,NA,NA
"cg05376982","chr1",110254692,"GSTM5","TSS200","OpenSea","II",NA,NA,"rs1758104"
"cg14377951","chr1",110254896,"GSTM5;GSTM5","1stExon;5'UTR","OpenSea","II",NA,NA,NA
"cg23719124","chr1",110254919,"GSTM5;GSTM5","1stExon;5'UTR","OpenSea","II",NA,NA,NA
"cg25593510","chr1",110254662,"GSTM5","TSS1500","OpenSea","II",NA,NA,NA
"cg02733266","chr10",106014410,"GSTO1","TSS1500","N_Shore","I",NA,NA,"rs11191975"
"cg19038917","chr10",106014565,"GSTO1","TSS200","N_Shore","I",NA,NA,NA
"cg23586589","chr10",106014624,"GSTO1","TSS200","N_Shore","I",NA,NA,NA
"cg00646492","chr10",106014296,"GSTO1","TSS1500","N_Shore","II",NA,NA,NA
"cg02225485","chr10",106014562,"GSTO1","TSS200","N_Shore","II",NA,NA,NA
"cg06119461","chr10",106014615,"GSTO1","TSS200","N_Shore","II",NA,NA,NA
"cg13685156","chr10",106014406,"GSTO1","TSS1500","N_Shore","II",NA,NA,"rs11191975"
"cg17088462","chr10",106014545,"GSTO1","TSS200","N_Shore","II",NA,NA,NA
"cg23245945","chr10",106014479,"GSTO1","TSS200","N_Shore","II",NA,NA,"rs628480"
"cg02105002","chr10",106028928,"GSTO2;GSTO2","5'UTR;1stExon","Island","I",NA,NA,NA
"cg06776915","chr10",106028703,"GSTO2;GSTO2","5'UTR;1stExon","Island","I",NA,NA,"rs17116770"
"cg08402107","chr10",106028939,"GSTO2;GSTO2","5'UTR;1stExon","Island","I",NA,NA,NA
"cg13332774","chr10",106028628,"GSTO2","TSS200","Island","I",NA,NA,NA
"cg16071118","chr10",106028543,"GSTO2","TSS200","Island","I",NA,NA,NA
"cg00899160","chr10",106034472,"GSTO2","5'UTR","N_Shore","II",NA,NA,NA
"cg03390723","chr10",106028329,"GSTO2","TSS1500","N_Shore","II",NA,NA,NA
"cg04447284","chr10",106034575,"GSTO2","5'UTR","Island","II",NA,NA,NA
"cg07217928","chr10",106028550,"GSTO2","TSS200","Island","II",NA,NA,NA
"cg09629914","chr10",106029358,"GSTO2","5'UTR","S_Shore","II",NA,NA,NA
"cg15410903","chr10",106028780,"GSTO2;GSTO2","5'UTR;1stExon","Island","II",NA,NA,"rs45584731"
"cg19917656","chr10",106034655,"GSTO2","5'UTR","Island","II",NA,NA,NA
"cg25250998","chr10",106028373,"GSTO2","TSS1500","N_Shore","II",NA,NA,NA
"cg02659086","chr11",67350976,"GSTP1","TSS200","Island","I",NA,NA,"rs45457391"
"cg04920951","chr11",67351271,"GSTP1;GSTP1","1stExon;5'UTR","Island","I",NA,NA,NA
"cg26250609","chr11",67351273,"GSTP1;GSTP1","1stExon;5'UTR","Island","I",NA,NA,"rs8191439"
"cg05244766","chr11",67350499,"GSTP1","TSS1500","N_Shore","II",NA,NA,"rs643317"
"cg08925882","chr11",67350491,"GSTP1","TSS1500","N_Shore","II",NA,NA,"rs643317"
"cg01957799","chr22",24384135,"GSTT1","1stExon","Island","I",NA,NA,NA
"cg11478607","chr22",24384400,"GSTT1","TSS200","Island","I",NA,NA,NA
"cg15254640","chr22",24384393,"GSTT1","TSS200","Island","I",NA,NA,NA
"cg20064778","chr22",24384315,"GSTT1","TSS200","Island","I",NA,NA,"rs6519497"
"cg24238852","chr22",24384340,"GSTT1","TSS200","Island","I",NA,NA,NA
"cg24336839","chr22",24384397,"GSTT1","TSS200","Island","I",NA,NA,NA
"cg01744396","chr22",24384245,"GSTT1;GSTT1","5'UTR;1stExon","Island","II",NA,NA,"rs6519497"
"cg16997375","chr22",24384944,"GSTT1","TSS1500","S_Shore","II",NA,NA,NA
"cg24330042","chr22",24384159,"GSTT1","1stExon","Island","II",NA,NA,NA
"cg09664220","chr22",24323221,"DDT;GSTT2","TSS1500;Body","S_Shore","II",NA,NA,NA
"cg02315508","chr14",77787366,"POMT2;GSTZ1;GSTZ1;GSTZ1;GSTZ1;GSTZ1","TSS200;5'UTR;1stExon;TSS1500;5'UTR;1stExon","Island","I",NA,NA,NA
"cg04139749","chr14",77786727,"GSTZ1;GSTZ1;POMT2;GSTZ1","TSS1500;TSS1500;Body;TSS1500","Island","I",NA,NA,NA
"cg05011482","chr14",77787043,"GSTZ1;GSTZ1;POMT2;GSTZ1;POMT2","TSS200;TSS1500;5'UTR;TSS200;1stExon","Island","I",NA,NA,"rs2270421"
"cg18431813","chr14",77786981,"GSTZ1;GSTZ1;GSTZ1;POMT2","TSS1500;TSS1500;TSS1500;1stExon","Island","I",NA,NA,NA
"cg22965663","chr14",77787393,"POMT2;GSTZ1;GSTZ1;GSTZ1;GSTZ1;GSTZ1","TSS200;5'UTR;1stExon;TSS1500;5'UTR;1stExon","Island","I",NA,NA,NA
"cg23388390","chr14",77787535,"GSTZ1;POMT2;GSTZ1;GSTZ1","Body;TSS1500;Body;TSS200","Island","I",NA,NA,"rs3087524"
"cg01018063","chr14",77787771,"GSTZ1;GSTZ1;GSTZ1;POMT2;GSTZ1","Body;1stExon;5'UTR;TSS1500;Body","Island","II",NA,NA,"rs8177539"
"cg11193041","chr14",77787952,"GSTZ1;GSTZ1;POMT2;GSTZ1","Body;5'UTR;TSS1500;Body","S_Shore","II",NA,NA,NA
"cg13702181","chr14",77791657,"GSTZ1;GSTZ1;GSTZ1","Body;5'UTR;Body","S_Shelf","II",NA,NA,NA
"cg13836474","chr14",77787608,"GSTZ1;POMT2;GSTZ1;GSTZ1","Body;TSS1500;Body;TSS200","Island","II",NA,NA,NA
"cg14685339","chr14",77787351,"POMT2;GSTZ1;GSTZ1;GSTZ1;GSTZ1;GSTZ1","TSS200;5'UTR;1stExon;TSS1500;5'UTR;1stExon","Island","II",NA,NA,NA
"cg17318645","chr14",77787612,"GSTZ1;POMT2;GSTZ1;GSTZ1","Body;TSS1500;Body;TSS200","Island","II",NA,NA,NA
"cg21220927","chr14",77787328,"POMT2;GSTZ1;GSTZ1;GSTZ1;GSTZ1;GSTZ1","TSS200;5'UTR;1stExon;TSS1500;5'UTR;1stExon","Island","II",NA,NA,NA
"cg25930429","chr14",77787055,"GSTZ1;GSTZ1;POMT2;GSTZ1;POMT2","TSS200;TSS1500;5'UTR;TSS200;1stExon","Island","II",NA,NA,"rs2270421"
"cg00609333","chr12",16505000,"MGST1;MGST1;MGST1;MGST1","TSS1500;5'UTR;5'UTR;5'UTR","OpenSea","II",NA,NA,"rs11056900"
"cg10449466","chr12",16505650,"MGST1;MGST1;MGST1;MGST1","TSS1500;5'UTR;5'UTR;5'UTR","OpenSea","II",NA,NA,NA
"cg10548102","chr12",16499963,"MGST1;MGST1;MGST1","TSS1500;TSS200;TSS1500","OpenSea","II",NA,NA,NA
"cg11203041","chr12",16500185,"MGST1;MGST1;MGST1","TSS1500;5'UTR;TSS1500","OpenSea","II",NA,NA,NA
"cg18233746","chr12",16500403,"MGST1;MGST1;MGST1","TSS1500;TSS200;5'UTR","OpenSea","II",NA,NA,NA
"cg27117982","chr12",16500077,"MGST1;MGST1;MGST1;MGST1","TSS1500;5'UTR;1stExon;TSS1500","OpenSea","II",NA,NA,NA
"cg03327307","chr4",140586881,"MGST2","TSS200","OpenSea","I",NA,NA,NA
"cg07705964","chr4",140586988,"MGST2;MGST2","1stExon;5'UTR","OpenSea","I",NA,NA,NA
"cg21604320","chr4",140587179,"MGST2","1stExon","OpenSea","I",NA,NA,NA
"cg03421014","chr4",140586396,"MGST2","TSS1500","OpenSea","II",NA,NA,NA
"cg10724791","chr4",140586921,"MGST2;MGST2","1stExon;5'UTR","OpenSea","II",NA,NA,NA
"cg11748071","chr4",140587074,"MGST2;MGST2","1stExon;5'UTR","OpenSea","II",NA,NA,NA
"cg12229172","chr4",140587147,"MGST2;MGST2","1stExon;5'UTR","OpenSea","II",NA,NA,NA
"cg25613641","chr4",140587143,"MGST2;MGST2","1stExon;5'UTR","OpenSea","II",NA,NA,"rs2132845"
"cg05129412","chr1",165600470,"MGST3;MGST3","5'UTR;1stExon","Island","I",NA,NA,"rs9333370"
"cg06961122","chr1",165599603,"MGST3","TSS1500","Island","I",NA,NA,"rs79968848"
"cg19407955","chr1",165599744,"MGST3","TSS1500","Island","I",NA,NA,"rs10800118"
"cg00348771","chr1",165599927,"MGST3","TSS1500","Island","II",NA,NA,NA
"cg01468717","chr1",165600297,"MGST3","TSS200","Island","II",NA,NA,NA
"cg03740640","chr1",165600573,"MGST3","5'UTR","Island","II",NA,NA,"rs4147594"
"cg09330427","chr1",165599901,"MGST3","TSS1500","Island","II",NA,NA,NA
"cg09553581","chr1",165603689,"MGST3","5'UTR","S_Shelf","II",NA,NA,"rs9333387"
"cg16553119","chr1",165599451,"MGST3","TSS1500","N_Shore","II",NA,NA,NA
"cg22165507","chr1",165601007,"MGST3","5'UTR","S_Shore","II",NA,NA,NA
"cg27477594","chr1",165600170,"MGST3","TSS1500","Island","II",NA,NA,NA
